"x_a","x_b","e_star_a","e_star_b","e_hat_a","e_hat_b","e_a_star","npv_a_star","npv_b_star","npv_a_hat","npv_b_hat","V_star","WTP_A","WTA_B","accept"
88.9,55.6,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,22.1594602113019,9841.27049411392,3220.70121872135,13474.6018931624,5898.9855071628,2459.05178361866,11015.5501095437,5898.9855071628,TRUE
88.9,66.7,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,20.8245736489234,9841.27049411392,5427.5576438522,13474.6018931624,8105.84193229365,2464.13227197135,11010.469621191,8105.84193229365,TRUE
88.9,77.8,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,20.6519767299485,9841.27049411392,7634.41406898306,13474.6018931624,10312.6983574245,2462.67369222648,11011.9282009359,10312.6983574245,TRUE
88.9,88.9,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,18.9980054948543,9841.27049411392,9841.27049411392,13474.6018931624,12519.5547825554,2452.57007138465,11022.0318217777,12519.5547825554,FALSE
88.9,100,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,18.9980090302308,9841.27049411392,12048.1269192448,13474.6018931624,14726.4112076862,2438.33754739222,11036.2643457702,14726.4112076862,FALSE
100,0.1,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,40.3477308745264,12048.1269192448,-7813.58090693294,15681.4583182933,-5135.29661849149,2296.97710625458,13384.4812120387,-5135.29661849149,TRUE
100,11.2,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,29.4516513258062,12048.1269192448,-5606.72448180208,15681.4583182933,-2928.44019336063,2414.31666214023,13267.141656153,-2928.44019336063,TRUE
100,22.3,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,26.2718762915855,12048.1269192448,-3399.86805667122,15681.4583182933,-721.583768229773,2485.36149039697,13196.0968278963,-721.583768229773,TRUE
100,33.4,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,23.8568026744902,12048.1269192448,-1193.01163154036,15681.4583182933,1485.27265690108,2529.87415334012,13151.5841649531,1485.27265690108,TRUE
100,44.5,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,23.8568026739995,12048.1269192448,1013.84479359049,15681.4583182933,3692.12908203194,2556.3722952709,13125.0860230223,3692.12908203194,TRUE
100,55.6,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,22.1594602087392,12048.1269192448,3220.70121872135,15681.4583182933,5898.9855071628,2570.05178361866,13111.4065346746,5898.9855071628,TRUE
100,66.7,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,20.8245736454464,12048.1269192448,5427.5576438522,15681.4583182933,8105.84193229365,2575.13227197135,13106.3260463219,8105.84193229365,TRUE
100,77.8,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,20.6519799528301,12048.1269192448,7634.41406898306,15681.4583182933,10312.6983574245,2573.67369228716,13107.7846260061,10312.6983574245,TRUE
100,88.9,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,18.9980054953874,12048.1269192448,9841.27049411392,15681.4583182933,12519.5547825554,2563.57007138465,13117.8882469086,12519.5547825554,TRUE
100,100,39.4005847953216,39.4005847953216,21.1257309941521,25.9294068504595,18.9980090277367,12048.1269192448,12048.1269192448,15681.4583182933,14726.4112076862,2549.33754739222,13132.120770901,14726.4112076862,FALSE
